Date,prcp
2014-09-01,5.742438271604938e-05
2014-10-01,9.309413580246912e-06
2014-11-01,4.066743827160494e-05
2014-12-01,4.9780864197530866e-05
2015-01-01,4.9878858024691356e-05
2015-02-01,4.684104938271605e-05
2015-03-01,4.1059413580246914e-05
2015-04-01,5.330864197530864e-05
2015-05-01,4.899691358024691e-06
2015-06-01,3.9393518518518514e-05
2015-07-01,5.7326388888888885e-05
2015-08-01,3.64537037037037e-05
2015-09-01,4.537114197530864e-05
2015-10-01,5.801234567901234e-05
2015-11-01,5.183873456790123e-05
2015-12-01,5.0270833333333327e-05
2016-01-01,2.9496141975308636e-05
2016-02-01,3.7237654320987654e-05
2016-03-01,3.096604938271605e-05
2016-04-01,4.517515432098766e-05
2016-05-01,5.6248456790123455e-05
2016-06-01,3.0476080246913577e-05
2016-07-01,3.0378086419753087e-05
2016-08-01,3.106404320987654e-05
2016-09-01,6.712577160493826e-05
2016-10-01,3.6551697530864194e-05
2016-11-01,7.643518518518518e-06
2016-12-01,5.536651234567901e-05
2017-01-01,9.867978395061728e-05
2017-02-01,2.3518518518518518e-05
2017-03-01,1.9304783950617283e-05
2017-04-01,5.644444444444444e-05
2017-05-01,4.419521604938271e-05
2017-06-01,2.9496141975308636e-05
2017-07-01,6.918364197530865e-05
2017-08-01,5.71304012345679e-05
2017-09-01,6.173611111111111e-05
2017-10-01,9.113425925925925e-06
2017-11-01,1.2739197530864196e-05
2017-12-01,5.4876543209876536e-05
2018-01-01,2.9496141975308643e-05
2018-02-01,1.950077160493827e-05
2018-03-01,3.3709876543209874e-05
2018-04-01,5.438657407407406e-05
2018-05-01,5.183873456790123e-05
2018-06-01,4.3117283950617286e-05
2018-07-01,3.233796296296296e-05
2018-08-01,3.498379629629629e-05
2018-09-01,4.9878858024691356e-05
2018-10-01,5.507253086419753e-05
2018-11-01,7.800308641975309e-05
2018-12-01,6.96736111111111e-05
2019-01-01,5.438657407407406e-05
2019-02-01,1.4797067901234566e-05
2019-03-01,2.8810185185185183e-05
2019-04-01,4.233333333333334e-05
2019-05-01,1.8814814814814816e-05
2019-06-01,7.202546296296296e-05
2019-07-01,1.0387345679012345e-05
2019-08-01,0.00011269290123456789
2019-09-01,9.603395061728395e-06
2019-10-01,3.606172839506173e-05
2019-11-01,2.9888117283950614e-05
2019-12-01,7.682716049382716e-05
2020-01-01,4.0373456790123455e-05
2020-02-01,9.779783950617284e-05
2020-03-01,4.929089506172839e-05
2020-04-01,5.3112654320987646e-05
2020-05-01,2.4400462962962966e-05
2020-06-01,3.1260030864197525e-05
2020-07-01,7.104552469135802e-05
2020-08-01,5.644444444444445e-05
2020-09-01,6.585185185185185e-05
2020-10-01,9.5054012345679e-06
2020-11-01,1.822685185185185e-05
2020-12-01,2.4988425925925922e-05
2021-01-01,4.3215277777777775e-05
2021-02-01,7.702314814814814e-05
2021-03-01,2.802623456790123e-05
2021-04-01,1.950077160493827e-05
2021-05-01,2.22445987654321e-05
2021-06-01,5.791435185185185e-05
2021-07-01,4.5959104938271605e-05
2021-08-01,7.1241512345679e-05
2021-09-01,6.634182098765432e-05
2021-10-01,1.479706790123457e-05
2021-11-01,2.351851851851852e-06
2021-12-01,5.38966049382716e-05
